clip_name,frame_number,best_reference_cycle_index,best_reference_phase_index,best_similarity,dissimilarity_score,threshold,is_anomalous
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,43,4,0,0.5959222316741943,0.40407776832580566,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,43,3,1,0.38878777623176575,0.6112122237682343,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,43,6,2,0.13370268046855927,0.8662973195314407,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,44,4,0,0.59293133020401,0.40706866979599,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,44,3,1,0.38960132002830505,0.610398679971695,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,44,6,2,0.13145095109939575,0.8685490489006042,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,45,5,0,0.5931023359298706,0.4068976640701294,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,45,3,1,0.39166900515556335,0.6083309948444366,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,45,6,2,0.13076679408550262,0.8692332059144974,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,46,5,0,0.596819281578064,0.40318071842193604,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,46,3,1,0.3937283158302307,0.6062716841697693,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,46,6,2,0.13133712112903595,0.868662878870964,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,47,4,0,0.5936879515647888,0.4063120484352112,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,47,3,1,0.3933124244213104,0.6066875755786896,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,47,6,2,0.1269053816795349,0.8730946183204651,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,48,4,0,0.5910773873329163,0.40892261266708374,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,48,3,1,0.39797067642211914,0.6020293235778809,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,48,6,2,0.1242843046784401,0.8757156953215599,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,49,4,0,0.5936858654022217,0.4063141345977783,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,49,3,1,0.4025053381919861,0.5974946618080139,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,49,6,2,0.12732791900634766,0.8726720809936523,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,50,4,0,0.5925543904304504,0.40744560956954956,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,50,3,1,0.4025822579860687,0.5974177420139313,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,50,6,2,0.1326931267976761,0.8673068732023239,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,51,4,0,0.5874147415161133,0.4125852584838867,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,51,3,1,0.4061765968799591,0.5938234031200409,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,51,6,2,0.14160554111003876,0.8583944588899612,0.23319601133433238,True
