group_id,raw_detection_number_in_group,raw_video_name,raw_stop_start_time,raw_stop_end_time,raw_interval_seconds,seconds_from_group_start,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group
53,1,cortexvpu-01a-005-41884872_2026-06-19_03-56-36_074722.ts,2026-06-19 04:57:16.374444444,2026-06-19 04:57:18.920000000,2.5455550000000002,0.0,2026-06-19 04:57:16.374444444,2026-06-19 04:57:18.920000000,2.545555556,1
54,1,cortexvpu-01a-005-41884872_2026-06-19_03-57-46_926933.ts,2026-06-19 04:57:49.222222222,2026-06-19 04:57:51.123333333,1.901111,0.0,2026-06-19 04:57:49.222222222,2026-06-19 04:57:51.123333333,1.901111111,1
55,1,cortexvpu-01a-005-41884872_2026-06-19_03-58-57_887073.ts,2026-06-19 04:59:00.254444444,2026-06-19 04:59:10.501111111,10.246666,0.0,2026-06-19 04:59:00.254444444,2026-06-19 04:59:10.501111111,10.246666667,1
56,1,cortexvpu-01a-005-41884872_2026-06-19_04-00-08_903360.ts,2026-06-19 05:00:10.094444444,2026-06-19 05:00:12.833333333,2.738888,0.0,2026-06-19 05:00:10.094444444,2026-06-19 05:00:12.833333333,2.738888889,1
57,1,cortexvpu-01a-005-41884872_2026-06-19_04-01-19_821038.ts,2026-06-19 05:01:34.370000000,2026-06-19 05:01:44.906666667,10.536666,0.0,2026-06-19 05:01:34.370000000,2026-06-19 05:01:44.906666667,10.536666667,1
58,1,cortexvpu-01a-005-41884872_2026-06-19_04-02-30_970241.ts,2026-06-19 05:03:41.662222222,2026-06-19 05:03:41.694444444,0.032222,0.0,2026-06-19 05:03:41.662222222,2026-06-19 05:03:41.694444444,0.032222222,1
59,1,cortexvpu-01a-005-41884872_2026-06-19_04-03-42_018463.ts,2026-06-19 05:03:44.835555556,2026-06-19 05:03:46.027777778,1.1922220000000001,0.0,2026-06-19 05:03:44.835555556,2026-06-19 05:03:46.027777778,1.192222222,1
60,1,cortexvpu-01a-005-41884872_2026-06-19_04-04-49_264511.ts,2026-06-19 05:04:51.062222222,2026-06-19 05:04:55.895555556,4.833333,0.0,2026-06-19 05:04:51.062222222,2026-06-19 05:04:55.895555556,4.833333334,1
61,1,cortexvpu-01a-005-41884872_2026-06-19_04-05-57_935676.ts,2026-06-19 05:06:02.123333333,2026-06-19 05:06:09.631111111,7.507777,0.0,2026-06-19 05:06:02.123333333,2026-06-19 05:06:09.631111111,7.507777778,1
62,1,cortexvpu-01a-005-41884872_2026-06-19_04-07-09_050920.ts,2026-06-19 05:08:11.188888889,2026-06-19 05:08:20.501111110,9.312222,0.0,2026-06-19 05:08:11.188888889,2026-06-19 05:08:20.501111110,9.312222221,2
62,2,cortexvpu-01a-005-41884872_2026-06-19_04-08-19_878715.ts,2026-06-19 05:08:19.032222222,2026-06-19 05:08:20.031111111,0.998888,7.843333,2026-06-19 05:08:11.188888889,2026-06-19 05:08:20.501111110,9.312222221,2
63,1,cortexvpu-01a-005-41884872_2026-06-19_04-10-42_180428.ts,2026-06-19 05:11:17.251111111,2026-06-19 05:11:21.633333333,4.382222,0.0,2026-06-19 05:11:17.251111111,2026-06-19 05:11:21.633333333,4.382222222,1
64,1,cortexvpu-01a-005-41884872_2026-06-19_04-14-15_009330.ts,2026-06-19 05:14:33.624444444,2026-06-19 05:14:49.864444444,16.24,0.0,2026-06-19 05:14:33.624444444,2026-06-19 05:14:49.864444444,16.24,1
65,1,cortexvpu-01a-005-41884872_2026-06-19_04-29-17_198079.ts,2026-06-19 05:30:04.527777778,2026-06-19 05:30:12.937777778,8.41,0.0,2026-06-19 05:30:04.527777778,2026-06-19 05:30:12.937777778,8.41,1
66,1,cortexvpu-01a-005-41884872_2026-06-19_04-37-34_180410.ts,2026-06-19 05:37:42.055555556,2026-06-19 05:37:48.822222222,6.766666,0.0,2026-06-19 05:37:42.055555556,2026-06-19 05:37:48.822222222,6.766666666,1
67,1,cortexvpu-01a-005-41884872_2026-06-19_04-43-29_313721.ts,2026-06-19 05:43:57.516666666,2026-06-19 05:44:02.962222222,5.445555,0.0,2026-06-19 05:43:57.516666666,2026-06-19 05:44:02.962222222,5.445555556,1
68,1,cortexvpu-01a-005-41884872_2026-06-19_04-52-51_392940.ts,2026-06-19 05:52:53.062222222,2026-06-19 05:53:08.722222222,15.66,0.0,2026-06-19 05:52:53.062222222,2026-06-19 05:53:08.722222222,15.66,1
69,1,cortexvpu-01a-005-41884872_2026-06-19_04-54-02_279615.ts,2026-06-19 05:54:04.062222222,2026-06-19 05:54:05.512222222,1.45,0.0,2026-06-19 05:54:04.062222222,2026-06-19 05:54:05.512222222,1.45,1
70,1,cortexvpu-01a-005-41884872_2026-06-19_04-56-24_384143.ts,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,13.823333,0.0,2026-06-19 05:56:42.141111111,2026-06-19 05:56:55.964444444,13.823333333,1
71,1,cortexvpu-01a-005-41884872_2026-06-19_04-57-35_231550.ts,2026-06-19 05:57:37.610000000,2026-06-19 05:57:40.896666667,3.286666,0.0,2026-06-19 05:57:37.610000000,2026-06-19 05:57:40.896666667,3.286666667,1
72,1,cortexvpu-01a-005-41884872_2026-06-19_05-05-36_382241.ts,2026-06-19 06:06:35.997777778,2026-06-19 06:06:42.571111111,6.573333,0.0,2026-06-19 06:06:35.997777778,2026-06-19 06:06:42.571111111,6.573333333,1
73,1,cortexvpu-01a-005-41884872_2026-06-19_05-06-47_285429.ts,2026-06-19 06:06:49.062222222,2026-06-19 06:06:56.183333333,7.121111,0.0,2026-06-19 06:06:49.062222222,2026-06-19 06:06:56.183333333,7.121111111,1
74,1,cortexvpu-01a-005-41884872_2026-06-19_05-14-50_651611.ts,2026-06-19 06:15:58.665555556,2026-06-19 06:16:01.758888889,3.093333,0.0,2026-06-19 06:15:58.665555556,2026-06-19 06:16:01.758888889,3.093333333,1
75,1,cortexvpu-01a-005-41884872_2026-06-19_05-15-59_505174.ts,2026-06-19 06:16:02.061111111,2026-06-19 06:16:11.115555556,9.054444,0.0,2026-06-19 06:16:02.061111111,2026-06-19 06:16:11.115555556,9.054444445,1
76,1,cortexvpu-01a-005-41884872_2026-06-19_05-17-10_371736.ts,2026-06-19 06:17:46.411111111,2026-06-19 06:17:51.953333333,5.542222,0.0,2026-06-19 06:17:46.411111111,2026-06-19 06:17:51.953333333,5.542222222,1
77,1,cortexvpu-01a-005-41884872_2026-06-19_05-21-54_544660.ts,2026-06-19 06:22:12.527777778,2026-06-19 06:22:20.486666667,7.958888,0.0,2026-06-19 06:22:12.527777778,2026-06-19 06:22:20.486666667,7.958888889,1
