extracted_stop_id,stop_time,stop_end_time,source_detection_count,source_first_video_name,source_last_video_name,Time,Period,Type,Operator,Time type,Time.1,Group,Reason 1,Reason 2,Reason 3,Reason 4,Product,Batch,Bulk,Order,harford_original_time,harford_time,harford_stop_id,harford_duration_minutes,matched_harford_stop,time_difference_seconds,absolute_time_difference_seconds
36,2026-06-19 10:19:04.000000000,2026-06-19 10:19:09.750000000,1,cortexvpu-01a-005-41884872_2026-06-19_09-18-59_591494.ts,cortexvpu-01a-005-41884872_2026-06-19_09-18-59_591494.ts,,,,,,,,,,,,,,,,,,,,False,,
37,2026-06-19 10:29:19.583333333,2026-06-19 10:29:31.416666667,1,cortexvpu-01a-005-41884872_2026-06-19_09-29-14_563219.ts,cortexvpu-01a-005-41884872_2026-06-19_09-29-14_563219.ts,,,,,,,,,,,,,,,,,,,,False,,
38,2026-06-19 10:59:33.250000000,2026-06-19 10:59:46.250000000,1,cortexvpu-01a-005-41884872_2026-06-19_09-59-14_567153.ts,cortexvpu-01a-005-41884872_2026-06-19_09-59-14_567153.ts,2026-06-19 11:00:26.633000,11:00:26 - 11:00:48,DB,Dagmara Smialek,Machine,0:00:22,,Shrinkwrapper,Auto Splicer > Container,Fallen,TP12,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 11:00:26.633,2026-06-19 11:00:26.633,118.0,0.36666666666666664,True,53.383,53.383
39,2026-06-19 11:28:38.916666667,2026-06-19 11:28:42.916666667,1,cortexvpu-01a-005-41884872_2026-06-19_10-26-59_681586.ts,cortexvpu-01a-005-41884872_2026-06-19_10-26-59_681586.ts,2026-06-19 11:29:28.470000,11:29:28 - 11:29:59,DB,Dagmara Smialek,Machine,0:00:31,,Shrinkwrapper,Infeed > Container,Fallen,TP12,788367 JW BLACK 12YO  0.05L 40% 16x12 Travel Retail,L6168CL003,,12585637,2026-06-19 11:29:28.470,2026-06-19 11:29:28.470,119.0,0.5166666666666667,True,49.553333333,49.553333333
40,2026-06-19 11:39:34.916666667,2026-06-19 11:39:39.666666667,1,cortexvpu-01a-005-41884872_2026-06-19_10-38-35_581824.ts,cortexvpu-01a-005-41884872_2026-06-19_10-38-35_581824.ts,,,,,,,,,,,,,,,,,,,,False,,
41,2026-06-19 12:31:56.666666667,2026-06-19 12:32:03.583333333,1,cortexvpu-01a-005-41884872_2026-06-19_11-30-07_756523.ts,cortexvpu-01a-005-41884872_2026-06-19_11-30-07_756523.ts,,,,,,,,,,,,,,,,,,,,False,,
42,2026-06-19 12:36:10.250000000,2026-06-19 12:36:19.666666667,1,cortexvpu-01a-005-41884872_2026-06-19_11-35-55_672958.ts,cortexvpu-01a-005-41884872_2026-06-19_11-35-55_672958.ts,,,,,,,,,,,,,,,,,,,,False,,
43,2026-06-19 12:51:42.000000000,2026-06-19 12:51:52.416666667,1,cortexvpu-01a-005-41884872_2026-06-19_11-50-27_708894.ts,cortexvpu-01a-005-41884872_2026-06-19_11-50-27_708894.ts,,,,,,,,,,,,,,,,,,,,False,,
44,2026-06-19 12:54:38.750000000,2026-06-19 12:54:55.500000000,1,cortexvpu-01a-005-41884872_2026-06-19_11-54-19_746414.ts,cortexvpu-01a-005-41884872_2026-06-19_11-54-19_746414.ts,,,,,,,,,,,,,,,,,,,,False,,
45,2026-06-19 13:00:49.166666667,2026-06-19 13:01:00.333333333,1,cortexvpu-01a-005-41884872_2026-06-19_11-59-57_720287.ts,cortexvpu-01a-005-41884872_2026-06-19_11-59-57_720287.ts,2026-06-19 13:01:30.552000,13:01:30 - 13:02:16,DB,Stuart McCandless,Unplanned operational,0:00:46,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 13:01:30.552,2026-06-19 13:01:30.552,121.0,0.7666666666666667,True,41.385333333,41.385333333
