harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_duration_seconds,harford_duration_minutes,grouped_starts_inside_harford_duration,grouped_intervals_overlapping_harford_duration,nearest_grouped_stop_id,nearest_grouped_stop_start_time,signed_seconds_from_harford_start_to_nearest_grouped_start,absolute_seconds_from_harford_start_to_nearest_grouped_start
136,2026-06-19 16:23:28.497,2026-06-19 16:23:52.497,24.0,0.4,1,1,186,2026-06-19 16:23:49.166666667,20.669666667,20.669666667
137,2026-06-19 16:24:17.637,2026-06-19 16:24:53.637,36.0,0.6,0,0,186,2026-06-19 16:23:49.166666667,-28.470333333,28.470333333
138,2026-06-19 16:28:23.338,2026-06-19 16:28:56.338,33.0,0.55,0,0,187,2026-06-19 16:29:31.500000000,68.162,68.162
139,2026-06-19 16:29:56.329,2026-06-19 16:31:23.329,87.0,1.45,0,0,187,2026-06-19 16:29:31.500000000,-24.829,24.829
140,2026-06-19 16:34:16.132,2026-06-19 16:35:07.132,51.0,0.85,0,0,188,2026-06-19 16:33:52.166666667,-23.965333333,23.965333333
141,2026-06-19 16:48:50.841,2026-06-19 16:49:07.841,17.0,0.2833333333333333,0,0,189,2026-06-19 16:54:34.166666667,343.325666667,343.325666667
142,2026-06-19 16:51:06.172,2026-06-19 16:52:02.172,56.0,0.9333333333333333,0,0,189,2026-06-19 16:54:34.166666667,207.994666667,207.994666667
143,2026-06-19 16:54:15.166,2026-06-19 16:56:59.166,164.0,2.7333333333333334,2,2,189,2026-06-19 16:54:34.166666667,19.000666667,19.000666667
144,2026-06-19 16:59:06.715,2026-06-19 16:59:29.715,23.0,0.38333333333333336,0,0,191,2026-06-19 17:01:17.666666667,130.951666667,130.951666667
145,2026-06-19 17:00:38.443,2026-06-19 17:01:31.443,53.0,0.8833333333333333,1,1,191,2026-06-19 17:01:17.666666667,39.223666667,39.223666667
146,2026-06-19 17:01:56.069,2026-06-19 17:04:08.069,132.0,2.2,0,0,191,2026-06-19 17:01:17.666666667,-38.402333333,38.402333333
147,2026-06-19 17:13:32.594,2026-06-19 17:14:28.594,56.0,0.9333333333333333,0,0,193,2026-06-19 17:12:57.333333333,-35.260666667,35.260666667
148,2026-06-19 17:21:59.361,2026-06-19 17:23:46.361,107.0,1.7833333333333334,0,0,194,2026-06-19 17:21:02.750000000,-56.611,56.611
149,2026-06-19 17:42:21.327,2026-06-19 17:42:57.327,36.0,0.6,0,0,195,2026-06-19 17:41:36.500000000,-44.827,44.827
150,2026-06-19 17:48:28.240,2026-06-19 17:49:54.240,86.0,1.4333333333333333,0,0,196,2026-06-19 17:47:33.000000000,-55.24,55.24
151,2026-06-19 18:07:17.432,2026-06-19 18:08:16.432,59.0,0.9833333333333333,0,0,198,2026-06-19 18:06:27.833333333,-49.598666667,49.598666667
152,2026-06-19 18:21:13.843,2026-06-19 18:21:39.843,26.0,0.43333333333333335,0,0,206,2026-06-19 18:20:47.166666667,-26.676333333,26.676333333
153,2026-06-19 18:28:48.178,2026-06-19 18:29:32.178,44.0,0.7333333333333333,0,0,210,2026-06-19 18:28:31.166666667,-17.011333333,17.011333333
154,2026-06-19 18:29:53.714,2026-06-19 18:32:39.714,166.0,2.7666666666666666,3,3,211,2026-06-19 18:30:24.166666667,30.452666667,30.452666667
155,2026-06-19 18:34:06.965,2026-06-19 18:34:53.965,47.0,0.7833333333333333,0,0,213,2026-06-19 18:31:37.166666667,-149.798333333,149.798333333
156,2026-06-19 18:35:45.261,2026-06-19 18:36:11.261,26.0,0.43333333333333335,0,0,213,2026-06-19 18:31:37.166666667,-248.094333333,248.094333333
157,2026-06-20 07:00:22.429,2026-06-20 07:01:07.429,45.0,0.75,0,0,220,2026-06-20 06:58:20.166666667,-122.262333333,122.262333333
158,2026-06-20 07:05:16.006,2026-06-20 07:06:36.006,80.0,1.3333333333333333,2,2,222,2026-06-20 07:05:25.166666667,9.160666667,9.160666667
159,2026-06-20 07:08:32.566,2026-06-20 07:11:14.566,162.0,2.7,0,0,223,2026-06-20 07:05:40.166666667,-172.399333333,172.399333333
