harford_stop_id,harford_stop_start_time,harford_stop_end_time,harford_interval_seconds,nearest_extracted_interval_id,nearest_extracted_stop_start_time,nearest_extracted_stop_end_time,nearest_extracted_active_delta_seconds,signed_nearest_extracted_active_delta_seconds,nearest_extracted_relation
128,2026-06-19 14:18:22.154,2026-06-19 14:20:56.154,154.0,49,2026-06-19 14:17:31.166666667,2026-06-19 14:17:44.166666667,37.987333,-37.987333,extracted_before_harford
129,2026-06-19 14:24:26.805,2026-06-19 14:24:53.805,27.0,50,2026-06-19 14:23:38.916666667,2026-06-19 14:23:44.250000000,42.555,-42.555,extracted_before_harford
130,2026-06-19 14:31:30.673,2026-06-19 14:34:15.673,165.0,50,2026-06-19 14:23:38.916666667,2026-06-19 14:23:44.250000000,466.423,-466.423,extracted_before_harford
131,2026-06-19 14:43:11.738,2026-06-19 14:44:36.738,85.0,51,2026-06-19 14:52:33.833333333,2026-06-19 14:52:42.333333333,477.095333,477.095333,extracted_after_harford
132,2026-06-19 14:47:55.487,2026-06-19 14:49:38.487,103.0,51,2026-06-19 14:52:33.833333333,2026-06-19 14:52:42.333333333,175.346333,175.346333,extracted_after_harford
133,2026-06-19 14:53:19.827,2026-06-19 14:54:33.827,74.0,51,2026-06-19 14:52:33.833333333,2026-06-19 14:52:42.333333333,37.493666,-37.493666,extracted_before_harford
134,2026-06-19 14:57:47.430,2026-06-19 14:59:36.430,109.0,52,2026-06-19 14:56:58.666666667,2026-06-19 14:57:10.500000000,36.93,-36.93,extracted_before_harford
135,2026-06-19 15:07:55.753,2026-06-19 15:09:58.753,122.99999999999999,53,2026-06-19 15:07:03.083333333,2026-06-19 15:07:19.833333333,35.919666,-35.919666,extracted_before_harford
136,2026-06-19 16:23:28.497,2026-06-19 16:23:52.497,24.0,55,2026-06-19 16:29:31.833333333,2026-06-19 16:29:32.833333333,339.336333,339.336333,extracted_after_harford
137,2026-06-19 16:24:17.637,2026-06-19 16:24:53.637,36.0,55,2026-06-19 16:29:31.833333333,2026-06-19 16:29:32.833333333,278.196333,278.196333,extracted_after_harford
138,2026-06-19 16:28:23.338,2026-06-19 16:28:56.338,33.0,55,2026-06-19 16:29:31.833333333,2026-06-19 16:29:32.833333333,35.495333,35.495333,extracted_after_harford
139,2026-06-19 16:29:56.329,2026-06-19 16:31:23.329,87.0,55,2026-06-19 16:29:31.833333333,2026-06-19 16:29:32.833333333,23.495666,-23.495666,extracted_before_harford
140,2026-06-19 16:34:16.132,2026-06-19 16:35:07.132,51.0,55,2026-06-19 16:29:31.833333333,2026-06-19 16:29:32.833333333,283.298666,-283.298666,extracted_before_harford
141,2026-06-19 16:48:50.841,2026-06-19 16:49:07.841,17.0,56,2026-06-19 16:56:24.583333333,2026-06-19 16:56:32.750000000,436.742333,436.742333,extracted_after_harford
142,2026-06-19 16:51:06.172,2026-06-19 16:52:02.172,56.0,56,2026-06-19 16:56:24.583333333,2026-06-19 16:56:32.750000000,262.411333,262.411333,extracted_after_harford
143,2026-06-19 16:54:15.166,2026-06-19 16:56:59.166,164.0,56,2026-06-19 16:56:24.583333333,2026-06-19 16:56:32.750000000,0.0,0.0,overlap
144,2026-06-19 16:59:06.715,2026-06-19 16:59:29.715,23.0,57,2026-06-19 17:01:17.666666667,2026-06-19 17:01:27.416666667,107.951666,107.951666,extracted_after_harford
145,2026-06-19 17:00:38.443,2026-06-19 17:01:31.443,53.0,57,2026-06-19 17:01:17.666666667,2026-06-19 17:01:27.416666667,0.0,0.0,overlap
146,2026-06-19 17:01:56.069,2026-06-19 17:04:08.069,132.0,57,2026-06-19 17:01:17.666666667,2026-06-19 17:01:27.416666667,28.652333,-28.652333,extracted_before_harford
147,2026-06-19 17:13:32.594,2026-06-19 17:14:28.594,56.0,58,2026-06-19 17:12:57.333333333,2026-06-19 17:13:06.500000000,26.094,-26.094,extracted_before_harford
148,2026-06-19 17:21:59.361,2026-06-19 17:23:46.361,107.0,59,2026-06-19 17:21:02.750000000,2026-06-19 17:21:18.583333333,40.777665999999996,-40.777665999999996,extracted_before_harford
149,2026-06-19 17:42:21.327,2026-06-19 17:42:57.327,36.0,60,2026-06-19 17:41:36.500000000,2026-06-19 17:41:50.666666667,30.660333,-30.660333,extracted_before_harford
150,2026-06-19 17:48:28.240,2026-06-19 17:49:54.240,86.0,61,2026-06-19 17:47:33.000000000,2026-06-19 17:47:49.666666667,38.573333,-38.573333,extracted_before_harford
151,2026-06-19 18:07:17.432,2026-06-19 18:08:16.432,59.0,63,2026-06-19 18:20:25.916666667,2026-06-19 18:20:41.166666667,729.484666,729.484666,extracted_after_harford
152,2026-06-19 18:21:13.843,2026-06-19 18:21:39.843,26.0,63,2026-06-19 18:20:25.916666667,2026-06-19 18:20:41.166666667,32.676333,-32.676333,extracted_before_harford
153,2026-06-19 18:28:48.178,2026-06-19 18:29:32.178,44.0,63,2026-06-19 18:20:25.916666667,2026-06-19 18:20:41.166666667,487.011333,-487.011333,extracted_before_harford
154,2026-06-19 18:29:53.714,2026-06-19 18:32:39.714,166.0,63,2026-06-19 18:20:25.916666667,2026-06-19 18:20:41.166666667,552.547333,-552.547333,extracted_before_harford
155,2026-06-19 18:34:06.965,2026-06-19 18:34:53.965,47.0,63,2026-06-19 18:20:25.916666667,2026-06-19 18:20:41.166666667,805.798333,-805.798333,extracted_before_harford
156,2026-06-19 18:35:45.261,2026-06-19 18:36:11.261,26.0,63,2026-06-19 18:20:25.916666667,2026-06-19 18:20:41.166666667,904.094333,-904.094333,extracted_before_harford
157,2026-06-20 07:00:22.429,2026-06-20 07:01:07.429,45.0,64,2026-06-20 06:53:51.750000000,2026-06-20 06:53:54.000000000,388.429,-388.429,extracted_before_harford
158,2026-06-20 07:05:16.006,2026-06-20 07:06:36.006,80.0,64,2026-06-20 06:53:51.750000000,2026-06-20 06:53:54.000000000,682.006,-682.006,extracted_before_harford
159,2026-06-20 07:08:32.566,2026-06-20 07:11:14.566,162.0,64,2026-06-20 06:53:51.750000000,2026-06-20 06:53:54.000000000,878.566,-878.566,extracted_before_harford
