delta_seconds_added_to_extracted_grouped_events,pearson_correlation,overlapping_marker_seconds,extracted_marker_seconds_after_shift,harford_marker_seconds,event_marker_width_seconds
-15,0.15569202510360935,1607,12003,4970,60
-10,0.17211890886182674,1725,12003,4970,60
-5,0.19146922108549272,1864,12003,4970,60
0,0.21193322034361398,2011,12003,4970,60
5,0.23295406311896327,2162,12003,4970,60
10,0.2541141167736197,2314,12003,4970,60
15,0.2752741704282754,2466,12003,4970,60
20,0.29476369353125365,2606,12003,4970,60
25,0.3113297881687861,2725,12003,4970,60
30,0.32260586939264885,2806,12003,4970,60
35,0.3311156894590755,2867,12002,4970,60
40,0.33515295480409385,2896,12002,4970,60
45,0.3347353066649537,2893,12002,4970,60
50,0.327217640160437,2839,12002,4970,60
55,0.3100940664557045,2716,12002,4970,60
60,0.2871234188030145,2551,12002,4970,60
65,0.2623429625473851,2373,12002,4970,60
70,0.23477818536415745,2175,12002,4970,60
75,0.20679576004178996,1974,12002,4970,60
80,0.1795094149513227,1778,12002,4970,60
85,0.1526407179999978,1585,12002,4970,60
90,0.12591123709505173,1393,12002,4970,60
95,0.10071313270028255,1212,12002,4970,60
100,0.07565424435189343,1032,12002,4970,60
105,0.054911053441282276,883,12002,4970,60
110,0.03834434392206943,764,12002,4970,60
115,0.029016868814613406,697,12002,4970,60
120,0.02386587509855558,660,12002,4970,60
125,0.02010704184629701,633,12002,4970,60
130,0.020107041846297045,633,12002,4970,60
135,0.022056066495616224,647,12002,4970,60
140,0.023169794866655748,655,12002,4970,60
145,0.025536467655114733,672,12002,4970,60
150,0.02901686881461325,697,12002,4970,60
155,0.03207962183497195,719,12002,4970,60
160,0.03528159090171059,742,12002,4970,60
165,0.038344343922069306,764,12002,4970,60
170,0.04001493647862858,776,12002,4970,60
175,0.041963961127947855,790,12002,4970,60
180,0.04544436228744636,815,12002,4970,60
185,0.04920319553970473,842,12002,4970,60
190,0.051848300420923636,861,12002,4970,60
195,0.05324046088472303,871,12002,4970,60
200,0.05532870158042212,886,12002,4970,60
205,0.05616399785870169,892,12002,4970,60
210,0.05755615832250108,902,12002,4970,60
215,0.059505182971820246,916,12002,4970,60
220,0.06256793599217886,938,12002,4970,60
225,0.06590912110529742,962,12002,4970,60
230,0.06980717040393572,990,12002,4970,60
235,0.07370521970257414,1018,12002,4970,60
240,0.0749581641199936,1027,12002,4970,60
245,0.07565424435189333,1032,12002,4970,60
250,0.07760326900121245,1046,12002,4970,60
255,0.08080523806795112,1069,12002,4970,60
260,0.08289347876365019,1084,12002,4970,60
265,0.08498171945934928,1099,12002,4970,60
270,0.08498171945934926,1099,12002,4970,60
275,0.08567779969124895,1104,12002,4970,60
280,0.08498171945934924,1099,12002,4970,60
285,0.08442485527382945,1095,12002,4970,60
290,0.08345034294916996,1088,12002,4970,60
295,0.08177975039261062,1076,12002,4970,60
300,0.07969150969691151,1061,12002,4970,60
305,0.07760326900121246,1046,12002,4970,60
310,0.07440129993447381,1023,12002,4970,60
315,0.07050325063583554,995,12002,4970,60
320,0.06716206552271692,971,12002,4970,60
325,0.06507382482701778,956,12002,4970,60
330,0.06507382482701782,956,12002,4970,60
335,0.06423852854873816,950,12002,4970,60
340,0.06242871994579882,937,12002,4970,60
345,0.06020126320371987,921,12002,4970,60
350,0.05783459041526085,904,12002,4970,60
355,0.057973806461640735,905,12002,4970,60
360,0.06075812738923957,925,12002,4970,60
365,0.06382088040959828,947,12002,4970,60
370,0.0661875531980572,964,12002,4970,60
375,0.06841500994013638,980,12002,4970,60
380,0.07203462714601488,1006,12002,4970,60
385,0.07495816411999358,1027,12002,4970,60
390,0.07788170109397231,1048,12002,4970,60
395,0.08024837388243139,1065,12002,4970,60
400,0.08372877504192987,1090,12002,4970,60
405,0.0872091762014283,1115,12002,4970,60
410,0.09152487363920647,1146,12002,4970,60
415,0.09152487363920644,1146,12002,4970,60
420,0.08609544783038868,1107,12002,4970,60
425,0.08108367016071087,1071,12002,4970,60
430,0.0767679727229328,1040,12002,4970,60
435,0.0725914913315346,1010,12002,4970,60
440,0.06632676924443727,965,12002,4970,60
445,0.06047969529647983,923,12002,4970,60
450,0.05393654111662274,876,12002,4970,60
455,0.04655809065848587,823,12002,4970,60
460,0.039179640200348954,770,12002,4970,60
465,0.032775702066871706,724,12002,4970,60
470,0.027067844165294126,683,12002,4970,60
475,0.021359986263716525,642,12002,4970,60
480,0.01760115301145812,615,12002,4970,60
485,0.014259967898339554,591,12002,4970,60
490,0.013146239527300041,583,12002,4970,60
495,0.013146239527300027,583,12002,4970,60
500,0.01495604813023924,596,12002,4970,60
505,0.016626640686798554,608,12002,4970,60
510,0.01968939370715728,630,12002,4970,60
515,0.024979603469595147,668,12002,4970,60
520,0.031940405788592176,718,12002,4970,60
525,0.03904042415396921,769,12002,4970,60
530,0.044469849962786884,808,12002,4970,60
535,0.052126732513683646,863,12002,4970,60
540,0.06163319937594393,931,11997,4970,60
545,0.07114320046126553,999,11992,4970,60
550,0.07884592202071086,1054,11987,4970,60
555,0.08418307945843435,1092,11982,4970,60
560,0.08785008123249448,1118,11977,4970,60
565,0.09207593781217079,1148,11972,4970,60
570,0.09546698869302431,1172,11967,4970,60
575,0.09858046122216592,1194,11962,4970,60
580,0.10030060659193071,1206,11957,4970,60
585,0.10062664597230812,1208,11952,4970,60
590,0.10137131624364505,1213,11947,4970,60
595,0.10002336004767819,1203,11942,4970,60
600,0.09863744883221294,1193,11941,4970,60
605,0.09793978617935285,1188,11941,4970,60
610,0.0980793187099247,1189,11941,4970,60
615,0.09780025364878069,1187,11941,4970,60
620,0.09654446087363268,1178,11941,4970,60
625,0.09403287532333655,1160,11941,4970,60
630,0.09166082230361253,1143,11941,4970,60
635,0.08956783434503249,1128,11941,4970,60
640,0.0870562487947364,1110,11941,4970,60
645,0.08607952108073234,1103,11941,4970,60
650,0.08496326083615634,1095,11941,4970,60
655,0.08458001529152645,1092,11937,4970,60
660,0.08420548598559358,1089,11932,4970,60
665,0.08299318808870784,1080,11927,4970,60
670,0.0805237567221665,1062,11922,4970,60
675,0.07805340594545102,1044,11917,4970,60
680,0.07642023817292133,1032,11912,4970,60
685,0.07492617306358647,1021,11907,4970,60
690,0.07287260745314678,1006,11902,4970,60
695,0.06886160246027442,977,11897,4970,60
700,0.06554804025658946,953,11892,4970,60
705,0.061534164346882046,924,11887,4970,60
710,0.05821799065401397,900,11882,4970,60
