filename,source,processed_at
cortexvpu-01a-005-41884872_2026-06-19_16-06-56_093845.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-06-56_093845.ts,2026-07-02T20:24:13.301158
cortexvpu-01a-005-41884872_2026-06-19_16-08-52_138799.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-08-52_138799.ts,2026-07-02T20:24:40.960312
cortexvpu-01a-005-41884872_2026-06-19_16-10-48_132357.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-10-48_132357.ts,2026-07-02T20:24:59.127643
cortexvpu-01a-005-41884872_2026-06-19_16-12-44_115306.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-12-44_115306.ts,2026-07-02T20:25:27.646464
cortexvpu-01a-005-41884872_2026-06-19_16-13-35_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-13-35_933333.ts,2026-07-02T20:25:42.838603
cortexvpu-01a-005-41884872_2026-06-19_16-15-30_708144.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-15-30_708144.ts,2026-07-02T20:26:08.551490
cortexvpu-01a-005-41884872_2026-06-19_16-17-26_137634.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-17-26_137634.ts,2026-07-02T20:26:23.519991
cortexvpu-01a-005-41884872_2026-06-19_16-19-22_138442.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-19-22_138442.ts,2026-07-02T20:26:49.532144
cortexvpu-01a-005-41884872_2026-06-19_16-21-18_126241.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-21-18_126241.ts,2026-07-02T20:27:12.321145
cortexvpu-01a-005-41884872_2026-06-19_16-23-14_165169.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-23-14_165169.ts,2026-07-02T20:27:37.879541
cortexvpu-01a-005-41884872_2026-06-19_16-25-10_118811.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-25-10_118811.ts,2026-07-02T20:27:53.199822
cortexvpu-01a-005-41884872_2026-06-19_16-26-30_516667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-26-30_516667.ts,2026-07-02T20:28:19.048831
cortexvpu-01a-005-41884872_2026-06-19_16-28-06_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-28-06_933333.ts,2026-07-02T20:28:33.996469
cortexvpu-01a-005-41884872_2026-06-19_16-30-00_848926.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-30-00_848926.ts,2026-07-02T20:28:49.097276
cortexvpu-01a-005-41884872_2026-06-19_16-30-19_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-30-19_533333.ts,2026-07-02T20:28:58.895896
cortexvpu-01a-005-41884872_2026-06-19_16-30-38_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-30-38_933333.ts,2026-07-02T20:29:11.089239
cortexvpu-01a-005-41884872_2026-06-19_16-30-47_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-30-47_933333.ts,2026-07-02T20:29:23.727545
cortexvpu-01a-005-41884872_2026-06-19_16-31-14_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-31-14_933333.ts,2026-07-02T20:29:43.753144
cortexvpu-01a-005-41884872_2026-06-19_16-31-38_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-31-38_533333.ts,2026-07-02T20:29:59.218848
cortexvpu-01a-005-41884872_2026-06-19_16-32-18_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-32-18_000000.ts,2026-07-02T20:30:13.331107
cortexvpu-01a-005-41884872_2026-06-19_16-32-38_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-32-38_533333.ts,2026-07-02T20:30:17.072257
cortexvpu-01a-005-41884872_2026-06-19_16-32-45_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-32-45_533333.ts,2026-07-02T20:30:28.694280
cortexvpu-01a-005-41884872_2026-06-19_16-32-56_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-32-56_533333.ts,2026-07-02T20:30:37.512908
cortexvpu-01a-005-41884872_2026-06-19_16-33-14_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-33-14_000000.ts,2026-07-02T20:31:03.701285
cortexvpu-01a-005-41884872_2026-06-19_16-35-07_110135.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-35-07_110135.ts,2026-07-02T20:31:18.158312
cortexvpu-01a-005-41884872_2026-06-19_16-36-52_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-36-52_533333.ts,2026-07-02T20:31:27.270412
cortexvpu-01a-005-41884872_2026-06-19_16-37-00_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-37-00_533333.ts,2026-07-02T20:31:37.575112
cortexvpu-01a-005-41884872_2026-06-19_16-37-21_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-37-21_933333.ts,2026-07-02T20:31:58.311656
cortexvpu-01a-005-41884872_2026-06-19_16-37-51_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-37-51_533333.ts,2026-07-02T20:32:03.767254
cortexvpu-01a-005-41884872_2026-06-19_16-38-00_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-38-00_533333.ts,2026-07-02T20:32:18.491738
cortexvpu-01a-005-41884872_2026-06-19_16-38-21_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-38-21_000000.ts,2026-07-02T20:32:25.984063
cortexvpu-01a-005-41884872_2026-06-19_16-38-25_000000.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-38-25_000000.ts,2026-07-02T20:32:50.595205
cortexvpu-01a-005-41884872_2026-06-19_16-39-33_533333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-39-33_533333.ts,2026-07-02T20:33:06.523375
cortexvpu-01a-005-41884872_2026-06-19_16-41-27_204708.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-41-27_204708.ts,2026-07-02T20:33:32.322408
cortexvpu-01a-005-41884872_2026-06-19_16-43-23_228248.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-43-23_228248.ts,2026-07-02T20:33:46.787182
cortexvpu-01a-005-41884872_2026-06-19_16-45-19_129732.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-45-19_129732.ts,2026-07-02T20:34:12.952578
cortexvpu-01a-005-41884872_2026-06-19_16-47-15_190690.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-47-15_190690.ts,2026-07-02T20:34:33.287905
cortexvpu-01a-005-41884872_2026-06-19_16-49-11_110740.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-49-11_110740.ts,2026-07-02T20:34:58.452385
cortexvpu-01a-005-41884872_2026-06-19_16-50-15_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-50-15_933333.ts,2026-07-02T20:35:13.109574
cortexvpu-01a-005-41884872_2026-06-19_16-52-09_121093.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-52-09_121093.ts,2026-07-02T20:35:40.768332
cortexvpu-01a-005-41884872_2026-06-19_16-54-05_219681.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-54-05_219681.ts,2026-07-02T20:35:55.538034
cortexvpu-01a-005-41884872_2026-06-19_16-56-01_171425.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-56-01_171425.ts,2026-07-02T20:36:20.091356
cortexvpu-01a-005-41884872_2026-06-19_16-57-57_221328.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-57-57_221328.ts,2026-07-02T20:36:34.814731
cortexvpu-01a-005-41884872_2026-06-19_16-59-53_198551.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_16-59-53_198551.ts,2026-07-02T20:37:00.677121
cortexvpu-01a-005-41884872_2026-06-19_17-01-49_258663.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-01-49_258663.ts,2026-07-02T20:37:15.528446
cortexvpu-01a-005-41884872_2026-06-19_17-03-45_222510.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-03-45_222510.ts,2026-07-02T20:37:40.018726
cortexvpu-01a-005-41884872_2026-06-19_17-05-41_222190.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-05-41_222190.ts,2026-07-02T20:37:55.362634
cortexvpu-01a-005-41884872_2026-06-19_17-07-37_254742.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-07-37_254742.ts,2026-07-02T20:38:20.807990
cortexvpu-01a-005-41884872_2026-06-19_17-09-33_266625.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-09-33_266625.ts,2026-07-02T20:38:43.386183
cortexvpu-01a-005-41884872_2026-06-19_17-11-29_290251.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-11-29_290251.ts,2026-07-02T20:38:56.671306
cortexvpu-01a-005-41884872_2026-06-19_17-11-35_616667.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-11-35_616667.ts,2026-07-02T20:39:11.499259
cortexvpu-01a-005-41884872_2026-06-19_17-12-50_033333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-12-50_033333.ts,2026-07-02T20:39:25.273180
cortexvpu-01a-005-41884872_2026-06-19_17-13-05_933333.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-13-05_933333.ts,2026-07-02T20:39:39.814952
cortexvpu-01a-005-41884872_2026-06-19_17-14-59_173218.ts,s3://diageo-prod-global-dashcam-mc-nuc-video/cortexvpu-01a-005-41884872/cortexvpu-01a-005-41884872_2026-06-19_17-14-59_173218.ts,2026-07-02T20:40:05.116817
